stimulus,side,figure,cube,x,y,z
19,left,M5,9,97.109,-10.615,104.974
19,right,M6,6,100.899,27.555,109.536
19,right,M6,2,89.484,34.63,114.328
19,right,M6,3,89.216,34.324,109.771
19,right,M6,4,93.124,32.06,109.693
19,right,M6,5,96.95,29.843,109.616
19,right,M6,1,89.742,34.923,118.707
19,right,M6,7,98.65,23.66,109.93
19,right,M6,8,96.454,19.857,110.314
19,right,M6,9,96.193,19.56,105.882
19,right,M6,10,95.927,19.257,101.365
20,left,M6,6,86.542,-22.16,109.352
20,left,M6,2,99.201,-20.716,115.753
20,left,M6,3,99.856,-20.897,111.229
20,left,M6,4,95.402,-21.319,110.601
20,left,M6,5,91.043,-21.733,109.986
20,left,M6,1,98.571,-20.542,120.101
20,left,M6,7,86.149,-17.668,109.116
20,left,M6,8,85.766,-13.283,108.885
20,left,M6,9,86.403,-13.459,104.485
20,left,M6,10,87.052,-13.638,100.0
20,right,M6,6,84.689,27.067,109.352
20,right,M6,2,95.314,20.037,115.753
20,right,M6,3,95.7,19.478,111.229
20,right,M6,4,92.016,22.017,110.601
20,right,M6,5,88.411,24.502,109.986
20,right,M6,1,94.944,20.575,120.101
20,right,M6,7,87.275,30.761,109.116
20,right,M6,8,89.8,34.367,108.885
20,right,M6,9,90.175,33.823,104.485
20,right,M6,10,90.557,33.268,100.0
21,left,M7,6,89.599,-20.822,105.457
21,left,M7,2,86.677,-10.377,112.128
21,left,M7,3,89.519,-11.301,108.81
21,left,M7,4,88.163,-15.473,108.81
21,left,M7,5,86.729,-19.889,108.81
21,left,M7,1,83.839,-9.455,115.443
21,left,M7,7,92.475,-21.757,102.099
21,left,M7,8,95.393,-22.704,98.692
21,left,M7,9,98.638,-23.759,101.764
21,left,M7,10,101.823,-24.794,104.779
21,right,M6,6,91.342,19.585,106.99
21,right,M6,2,102.069,28.341,110.39
21,right,M6,3,99.656,30.226,106.99
21,right,M6,4,96.875,26.666,106.99
21,right,M6,5,94.152,23.182,106.99
21,right,M6,1,104.387,26.53,113.657
21,right,M6,7,88.698,21.651,110.011
21,right,M6,8,86.117,23.667,112.96
21,right,M6,9,83.771,25.5,109.654
21,right,M6,10,81.379,27.368,106.284
22,left,M5,5,97.506,-17.185,108.398
22,left,M5,1,97.558,-17.044,121.215
22,left,M5,2,96.446,-20.098,117.964
22,left,M5,3,95.34,-23.136,114.731
22,left,M5,4,96.409,-20.2,111.607
22,left,M5,10,88.04,-17.07,98.902
22,left,M5,6,98.595,-14.194,105.215
22,left,M5,7,94.541,-12.719,105.215
22,left,M5,8,90.199,-11.138,105.215
22,left,M5,9,89.128,-14.078,102.086
22,right,M8,6,96.516,23.874,105.388
22,right,M8,2,97.448,34.965,111.74
22,right,M8,3,94.697,33.377,108.564
22,right,M8,4,96.897,29.566,108.564
22,right,M8,5,99.267,25.462,108.564
22,right,M8,1,100.202,36.555,114.921
22,right,M8,7,93.779,22.294,102.228
22,right,M8,8,90.991,20.684,99.008
22,right,M8,9,88.212,19.079,102.217
22,right,M8,10,85.493,17.51,105.356
23,left,M8,6,96.516,-20.126,105.388
23,left,M8,2,97.448,-9.035,111.74
