ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades
174,2,first,21,15,2.3155294844087653,11,1.6980549552330944
174,2,first,22,11,2.4808299503834026,8,1.8042399639152018
174,2,first,23,11,1.7779214481978307,11,1.7779214481978307
174,2,first,24,14,1.6045845272206314,7,0.8022922636103157
174,2,first,25,9,2.1967293141322872,8,1.9526482792286999
174,2,first,26,21,1.8978761861726168,15,1.3556258472661549
174,2,first,27,13,2.7612574341546146,10,2.1240441801189345
174,2,first,28,9,2.1438780371605635,9,2.1438780371605635
174,2,first,29,12,2.5723472668810254,9,1.929260450160769
174,2,first,30,13,2.8458844133099928,9,1.970227670753072
174,3,second,1,11,1.8041659832704584,7,1.1481056257175644
174,3,second,2,13,1.9741837509491245,9,1.3667425968109324
174,3,second,3,12,1.601281024819856,11,1.4678409394182013
174,3,second,4,10,2.3837902264600594,8,1.9070321811680473
174,3,second,5,6,2.2222222222222316,5,1.8518518518518596
174,3,second,6,6,2.1186440677966147,8,2.8248587570621533
174,3,second,7,21,1.9453450671607222,15,1.3895321908290874
174,3,second,8,7,2.2271714922048993,6,1.909004136175628
174,3,second,9,18,2.1349780571699686,15,1.779148380974974
174,3,second,10,13,2.2340608351950495,10,1.7185083347654229
174,3,second,11,9,2.233804914370814,6,1.4892032762472092
174,3,second,12,7,2.915451895043719,6,2.498958767180331
174,3,second,13,10,2.873563218390813,7,2.011494252873569
174,3,second,14,6,2.197802197802229,8,2.930402930402972
174,3,second,15,7,2.608047690014906,5,1.8628912071535042
174,3,second,16,10,1.9282684149633602,9,1.7354415734670243
174,3,second,17,11,2.8350515463917554,8,2.061855670103095
174,3,second,18,13,1.8699654775604149,9,1.2945914844649025
174,3,second,19,16,2.3198492098013657,11,1.594896331738439
174,3,second,20,4,1.937984496124031,5,2.4224806201550386
174,3,second,21,9,1.845775225594748,8,1.6406890894175539
174,3,second,22,13,2.4047354790972966,9,1.6648168701442823
174,3,second,23,9,2.3554043444124586,10,2.6171159382360654
174,3,second,24,16,2.6101141924959235,10,1.631321370309952
174,3,second,25,11,2.1350931677018687,10,1.9409937888198807
174,3,second,26,17,1.9015659955257276,9,1.0067114093959735
174,3,second,27,8,2.599935001624961,6,1.9499512512187207
174,3,second,28,7,2.3178807947019897,7,2.3178807947019897
174,3,second,29,12,1.8691588785046762,11,1.7133956386292866
174,3,second,30,5,2.1561017680034342,5,2.1561017680034342
175,2,first,1,3,2.2658610271903354,4,3.021148036253781
175,2,first,2,3,2.0847810979847217,2,1.389854065323148
175,2,first,3,7,3.286384976525807,4,1.877934272300461
175,2,first,4,7,2.4305555555555594,6,2.0833333333333366
175,2,first,5,6,1.5030060120240518,6,1.5030060120240518
175,2,first,6,5,2.000800320128044,7,2.8011204481792618
175,2,first,7,7,3.5879036391594186,3,1.5376729882111795
175,2,first,8,3,2.4390243902438944,3,2.4390243902438944
175,2,first,9,4,2.0418580908626818,8,4.0837161817253635
175,2,first,10,6,2.0979020979020877,8,2.7972027972027838
175,2,first,11,4,2.2185246810870716,4,2.2185246810870716
175,2,first,12,6,3.9318479685451893,5,3.2765399737876577
175,2,first,13,5,2.2026431718061574,9,3.9647577092510833
175,2,first,14,9,2.9173419773095683,8,2.5931928687196164
175,2,first,15,4,2.4360535931790355,5,3.045066991473794
175,2,first,16,3,2.570694087403611,4,3.427592116538148
